,Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes,direction,KEGG_Pathway,KEGG_Pathway_Name,contrast,strain
1,gs_ind_0,ko00020,13/25,3.459103068501684e-06,0.00012407118311979075,7.335203619909502,92.23652695007256,ko:K00024;ko:K01902;ko:K01647;ko:K00240;ko:K00242;ko:K00239;ko:K00031;ko:K01681;ko:K01610;ko:K00658;ko:K00244;ko:K00164;ko:K01903,up,ko00020,Citrate cycle (TCA cycle),1_vs_0,Rahnella
214,gs_ind_0,ko03010,25/53,1.4324891668594277e-11,1.4181642751908334e-09,7.983137455288707,199.3311380691821,ko:K02931;ko:K02926;ko:K02990;ko:K02888;ko:K02867;ko:K02876;ko:K02886;ko:K02982;ko:K02881;ko:K02890;ko:K02899;ko:K02961;ko:K02967;ko:K02879;ko:K02884;ko:K02892;ko:K02871;ko:K02864;ko:K02994;ko:K02950;ko:K02963;ko:K02952;ko:K02986;ko:K02874;ko:K02945,down,ko03010,Ribosome,1_vs_0,Rahnella
35,gs_ind_0,ko00500,14/25,4.270666634959243e-07,6.0216399552925326e-05,8.59336972965862,126.03315944720707,ko:K00847;ko:K00697;ko:K00975;ko:K01193;ko:K00688;ko:K02761;ko:K00690;ko:K01194;ko:K01176;ko:K00703;ko:K00700;ko:K05349;ko:K00705;ko:K02760,up,ko00500,Starch and sucrose metabolism,1_vs_0,Rahnella
8,gs_ind_0,ko00071,6/10,0.0006664959209232878,0.011645670029967168,9.64172000656491,70.51449305888862,ko:K06445;ko:K01782;ko:K04072;ko:K01897;ko:K05939;ko:K00632,up,ko00071,Fatty acid degradation,1_vs_0,Rahnella
29,gs_ind_0,ko00380,4/6,0.003593576887806669,0.03377962274538269,11.955066079295154,67.29037130841584,ko:K03781;ko:K00658;ko:K01782;ko:K03782,up,ko00380,Tryptophan metabolism,1_vs_0,Rahnella
44,gs_ind_0,ko00600,4/4,0.00029858562652142656,0.007016762223253524,59.82819383259912,485.5927717929004,ko:K01130;ko:K01190;ko:K12373;ko:K07407,up,ko00600,Sphingolipid metabolism,1_vs_0,Rahnella
63,gs_ind_0,ko01120,32/188,0.0014721981801355897,0.03743686178756216,1.9726182143277913,12.863440682008351,ko:K01813;ko:K01085;ko:K03737;ko:K00656;ko:K00851;ko:K00134;ko:K00615;ko:K01621;ko:K01610;ko:K00138;ko:K00164;ko:K00370;ko:K01607;ko:K02822;ko:K07248;ko:K01007;ko:K03777;ko:K01629;ko:K00824;ko:K01681;ko:K06151;ko:K00616;ko:K01782;ko:K00024;ko:K01676;ko:K11177;ko:K18333;ko:K04072;ko:K01895;ko:K00244;ko:K00632;ko:K00135,up,ko01120,Microbial metabolism in diverse environments,2_vs_0,Rahnella
191,gs_ind_0,ko01230,24/91,1.907815167506137e-05,0.0004605611592524848,3.1575679725968744,34.31318622910936,ko:K12339;ko:K00215;ko:K00549;ko:K00789;ko:K00832;ko:K00765;ko:K00615;ko:K14260;ko:K01953;ko:K01652;ko:K00133;ko:K00831;ko:K01915;ko:K00052;ko:K01689;ko:K11258;ko:K01079;ko:K01739;ko:K00817;ko:K00265;ko:K00651;ko:K00053;ko:K00548;ko:K01940,down,ko01230,Biosynthesis of amino acids,2_vs_0,Rahnella
38,gs_ind_0,ko00620,13/43,0.00018215895344213836,0.006982759881948638,4.107789349190184,35.370657824802684,ko:K00656;ko:K07248;ko:K00024;ko:K01007;ko:K03777;ko:K01676;ko:K04072;ko:K01610;ko:K00101;ko:K03737;ko:K00244;ko:K01895;ko:K00138,up,ko00620,Pyruvate metabolism,2_vs_0,Rahnella
188,gs_ind_0,ko01210,10/30,0.000803300205167514,0.015951246931183494,4.315735497391537,30.757306315833798,ko:K00627;ko:K00382;ko:K14260;ko:K01652;ko:K00133;ko:K00053;ko:K05825;ko:K00163;ko:K00052;ko:K11258,down,ko01210,2-Oxocarboxylic acid metabolism,2_vs_0,Rahnella
130,gs_ind_0,ko00270,14/38,1.9880337809459777e-05,0.0004605611592524848,5.0520237779713,54.69209476428587,ko:K09880;ko:K01739;ko:K00899;ko:K01761;ko:K00133;ko:K00831;ko:K00548;ko:K12339;ko:K00549;ko:K00789;ko:K00651;ko:K08963;ko:K08967;ko:K00832,down,ko00270,Cysteine and methionine metabolism,2_vs_0,Rahnella
206,gs_ind_0,ko03010,20/53,1.9517744469804416e-07,6.782416203257034e-06,5.321674360644595,82.21644554179825,ko:K02931;ko:K02926;ko:K02867;ko:K02886;ko:K02982;ko:K02881;ko:K02890;ko:K02961;ko:K02967;ko:K02863;ko:K02879;ko:K02884;ko:K02892;ko:K02864;ko:K02994;ko:K02935;ko:K02963;ko:K02952;ko:K02904;ko:K02986,down,ko03010,Ribosome,2_vs_0,Rahnella
3,gs_ind_0,ko00040,12/25,1.3090377686131107e-06,7.526967169525386e-05,8.621645597693503,116.79069266828085,ko:K01815;ko:K08323;ko:K01812;ko:K00040;ko:K00065;ko:K01629;ko:K01805;ko:K01804;ko:K01730;ko:K01686;ko:K01685;ko:K00854,up,ko00040,Pentose and glucuronate interconversions,2_vs_0,Rahnella
205,gs_ind_0,ko02040,22/44,6.456246458852458e-11,8.974182577804916e-09,8.804971319311663,206.59445766775735,ko:K02406;ko:K02557;ko:K02400;ko:K02407;ko:K02395;ko:K02390;ko:K02392;ko:K02415;ko:K02412;ko:K02417;ko:K02408;ko:K02401;ko:K02409;ko:K02420;ko:K02556;ko:K02396;ko:K02410;ko:K02397;ko:K02414;ko:K02418;ko:K02389;ko:K02391,down,ko02040,Flagellar assembly,2_vs_0,Rahnella
8,gs_ind_0,ko00071,5/10,0.0016276896429374852,0.03743686178756216,9.089320388349515,58.35883291905898,ko:K06445;ko:K01782;ko:K04072;ko:K01897;ko:K00632,up,ko00071,Fatty acid degradation,2_vs_0,Rahnella
150,gs_ind_0,ko00550,13/23,9.383214672528239e-08,4.347556131604751e-06,11.00105624504885,178.0164334664026,ko:K07258;ko:K19302;ko:K01921;ko:K01000;ko:K02563;ko:K01925;ko:K01928;ko:K03587;ko:K05515;ko:K01929;ko:K03588;ko:K01924;ko:K00790,down,ko00550,Peptidoglycan biosynthesis,2_vs_0,Rahnella
26,gs_ind_0,ko00500,14/25,1.2431917451980233e-08,1.4296705069777267e-06,11.845070422535212,215.615801305077,ko:K00697;ko:K00975;ko:K00688;ko:K01087;ko:K02761;ko:K00690;ko:K01194;ko:K01176;ko:K06044;ko:K00703;ko:K00700;ko:K05349;ko:K00705;ko:K02760,up,ko00500,Starch and sucrose metabolism,2_vs_0,Rahnella
204,gs_ind_0,ko02030,12/17,8.084266414307685e-09,5.618565157943841e-07,19.416541101623974,361.79513006572347,ko:K03406;ko:K02417;ko:K03413;ko:K03415;ko:K03412;ko:K02557;ko:K02556;ko:K05876;ko:K02410;ko:K03408;ko:K03407;ko:K03414,down,ko02030,Bacterial chemotaxis,2_vs_0,Rahnella
