,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,KEGG_Pathway,KEGG_Pathway_Name,contrast,strain
5,prerank,ko00440,0.7198109951186697,1.8842997731552267,0.005649717514124294,0.022080848243870112,0.092,7/9,16.52%,ko:K03823;ko:K06164;ko:K05306;ko:K06162;ko:K06163;ko:K06166;ko:K06165,ko00440,Phosphonate and phosphinate metabolism,7_vs_0,Pseudomonas1
6,prerank,ko00543,0.6250355578789468,1.8255227991970195,0.009174311926605505,0.03673956262425447,0.166,10/13,30.67%,ko:K20999;ko:K03818;ko:K21001;ko:K21002;ko:K19291;ko:K03606;ko:K19294;ko:K19293;ko:K19296;ko:K19295,ko00543,Exopolysaccharide biosynthesis,7_vs_0,Pseudomonas1
7,prerank,ko00630,0.46067798552610323,1.8160173870217775,0.0043859649122807015,0.03458250497017893,0.177,17/34,25.13%,ko:K01816;ko:K07248;ko:K00830;ko:K12972;ko:K01915;ko:K07246;ko:K01608;ko:K00123;ko:K00626;ko:K00127;ko:K00104;ko:K07749;ko:K03781;ko:K00865;ko:K11472;ko:K11473;ko:K00124,ko00630,Glyoxylate and dicarboxylate metabolism,7_vs_0,Pseudomonas1
8,prerank,ko01220,0.5371568036194868,1.793580029901848,0.01020408163265306,0.03838892570502908,0.218,7/18,10.69%,ko:K05783;ko:K05550;ko:K01857;ko:K00449;ko:K03381;ko:K01607;ko:K05549,ko01220,Degradation of aromatic compounds,7_vs_0,Pseudomonas1
9,prerank,ko00190,-0.5380385999133173,-1.7899353725115696,0.0,0.015591900311526479,0.134,18/49,18.90%,ko:K00241;ko:K00242;ko:K02110;ko:K02113;ko:K02112;ko:K02115;ko:K02297;ko:K02111;ko:K02300;ko:K00239;ko:K02114;ko:K02108;ko:K00240;ko:K01507;ko:K00330;ko:K02109;ko:K00331;ko:K00937,ko00190,Oxidative phosphorylation,7_vs_0,Pseudomonas1
10,prerank,ko00720,-0.6386579447631737,-1.8565264780817268,0.001326259946949602,0.006604361370716511,0.051,9/23,11.40%,ko:K00241;ko:K00242;ko:K01902;ko:K00239;ko:K01962;ko:K01961;ko:K00240;ko:K01682;ko:K02160,ko00720,Other carbon fixation pathways,7_vs_0,Pseudomonas1
11,prerank,ko00195,-0.8386924753834316,-1.8659615173838586,0.0,0.006396677050882658,0.042,7/8,9.95%,ko:K02110;ko:K02113;ko:K02112;ko:K02115;ko:K02111;ko:K02114;ko:K02108,ko00195,Photosynthesis,7_vs_0,Pseudomonas1
12,prerank,ko03018,-0.7152075245485457,-1.8986415323054808,0.001443001443001443,0.004186915887850468,0.024,12/16,24.57%,ko:K03666;ko:K04043;ko:K04077;ko:K00962;ko:K03628;ko:K08311;ko:K01689;ko:K00937;ko:K08300;ko:K12573;ko:K00970;ko:K03732,ko03018,RNA degradation,7_vs_0,Pseudomonas1
13,prerank,ko03060,-0.7515327226220812,-1.9093443234320895,0.003048780487804878,0.0043613707165109025,0.02,11/14,19.13%,ko:K03076;ko:K03100;ko:K03210;ko:K03072;ko:K03217;ko:K03073;ko:K03101;ko:K03071;ko:K03070;ko:K03074;ko:K03106,ko03060,Protein export,7_vs_0,Pseudomonas1
14,prerank,ko00240,-0.6557447253965525,-1.9401000181762866,0.0,0.00407061266874351,0.014,18/29,22.59%,ko:K01520;ko:K09913;ko:K07043;ko:K00945;ko:K00940;ko:K16066;ko:K09903;ko:K01956;ko:K01465;ko:K06966;ko:K00560;ko:K00525;ko:K01494;ko:K00761;ko:K00762;ko:K01955;ko:K00526;ko:K01937,ko00240,Pyrimidine metabolism,7_vs_0,Pseudomonas1
15,prerank,ko00020,-0.6923867514591089,-2.014964384980134,0.0,0.0004361370716510903,0.001,11/23,15.44%,ko:K00241;ko:K00242;ko:K01902;ko:K01647;ko:K00239;ko:K00240;ko:K01682;ko:K00164;ko:K00163;ko:K01610;ko:K00658,ko00020,Citrate cycle (TCA cycle),7_vs_0,Pseudomonas1
16,prerank,ko03010,-0.8687145074019866,-2.9185973512625654,0.0,0.0,0.0,48/53,11.51%,ko:K02874;ko:K02992;ko:K02890;ko:K02988;ko:K02954;ko:K02931;ko:K02935;ko:K02952;ko:K02906;ko:K02895;ko:K02864;ko:K02892;ko:K02986;ko:K02933;ko:K02907;ko:K02945;ko:K02916;ko:K02968;ko:K02904;ko:K02950;ko:K02902;ko:K02994;ko:K02876;ko:K02888;ko:K02959;ko:K02967;ko:K02965;ko:K02982;ko:K02961;ko:K02948;ko:K02881;ko:K02863;ko:K02990;ko:K02926;ko:K02878;ko:K02867;ko:K02946;ko:K02871;ko:K02879;ko:K02887;ko:K02897;ko:K02956;ko:K02911;ko:K02886;ko:K02899;ko:K02939;ko:K02963;ko:K02884,ko03010,Ribosome,7_vs_0,Pseudomonas1
0,prerank,ko00280,0.8376714249972479,2.390128574559451,0.0,0.0,0.0,19/24,11.33%,ko:K00253;ko:K01782;ko:K01029;ko:K01028;ko:K00249;ko:K00128;ko:K00140;ko:K01969;ko:K13766;ko:K00626;ko:K00632;ko:K00020;ko:K01968;ko:K01692;ko:K00382;ko:K00248;ko:K09699;ko:K01640;ko:K00167,ko00280,"Valine, leucine and isoleucine degradation",1_vs_0,Pseudomonas2
1,prerank,ko00260,0.7234514271837316,2.274844121528657,0.0,0.0,0.0,10/38,1.89%,ko:K00600;ko:K21833;ko:K00302;ko:K00304;ko:K00479;ko:K00303;ko:K21834;ko:K21832;ko:K00305;ko:K01752,ko00260,"Glycine, serine and threonine metabolism",1_vs_0,Pseudomonas2
2,prerank,ko00071,0.837820396138224,2.1044808993682875,0.0,0.00035633073118128324,0.001,12/14,10.63%,ko:K01782;ko:K00249;ko:K00128;ko:K00121;ko:K06445;ko:K00626;ko:K01897;ko:K00252;ko:K00632;ko:K01692;ko:K00496;ko:K00248,ko00071,Fatty acid degradation,1_vs_0,Pseudomonas2
3,prerank,ko00410,0.8032907162730344,1.970766052572621,0.001869158878504673,0.0037414726774034745,0.013,9/12,10.63%,ko:K01464;ko:K06016;ko:K17723;ko:K17722;ko:K01782;ko:K00128;ko:K00140;ko:K01692;ko:K00248,ko00410,beta-Alanine metabolism,1_vs_0,Pseudomonas2
4,prerank,ko02010,0.5237958707897442,1.9663672542422894,0.0,0.0029931781419227795,0.013,26/104,8.99%,ko:K02002;ko:K02000;ko:K17321;ko:K17213;ko:K17215;ko:K17325;ko:K01995;ko:K11963;ko:K01997;ko:K17324;ko:K01996;ko:K01998;ko:K02001;ko:K17323;ko:K10227;ko:K17205;ko:K01999;ko:K17322;ko:K17214;ko:K11962;ko:K10543;ko:K10544;ko:K10537;ko:K11073;ko:K12368;ko:K09969,ko02010,ABC transporters,1_vs_0,Pseudomonas2
5,prerank,ko00680,0.6788111811720984,1.895167368468703,0.001718213058419244,0.008373772182760158,0.046,5/21,7.18%,ko:K00600;ko:K00148;ko:K01895;ko:K00121;ko:K01070,ko00680,Methane metabolism,1_vs_0,Pseudomonas2
6,prerank,ko00562,0.8033226190608845,1.8787808321746895,0.0035778175313059034,0.009773642912400913,0.061,7/10,3.93%,ko:K00010;ko:K03338;ko:K03337;ko:K03335;ko:K03336;ko:K06606;ko:K00140,ko00562,Inositol phosphate metabolism,1_vs_0,Pseudomonas2
7,prerank,ko00907,0.873046875,1.8669142766627977,0.0,0.009888177790280612,0.07,8/8,12.89%,ko:K01782;ko:K13779;ko:K00632;ko:K01692;ko:K13774;ko:K11731;ko:K01640;ko:K13778,ko00907,"Pinene, camphor and geraniol degradation",1_vs_0,Pseudomonas2
8,prerank,ko00380,0.703131155125115,1.827477442523786,0.0033500837520938024,0.015440998351188942,0.118,7/16,9.58%,ko:K01426;ko:K01782;ko:K00128;ko:K00626;ko:K00252;ko:K01692;ko:K00382,ko00380,Tryptophan metabolism,1_vs_0,Pseudomonas2
9,prerank,ko00310,0.751863058746727,1.794444153887518,0.008912655971479501,0.021379843870876995,0.174,7/11,9.58%,ko:K01782;ko:K00128;ko:K01843;ko:K00626;ko:K00252;ko:K01692;ko:K00382,ko00310,Lysine degradation,1_vs_0,Pseudomonas2
10,prerank,ko00910,0.7283902660760798,1.7917288959610773,0.0034904013961605585,0.020213670568829157,0.179,5/13,7.41%,ko:K02575;ko:K00372;ko:K00363;ko:K00926;ko:K00459,ko00910,Nitrogen metabolism,1_vs_0,Pseudomonas2
11,prerank,ko02030,0.6697567224930238,1.7714679833438924,0.0017241379310344827,0.02378507630635066,0.221,9/17,22.44%,ko:K03406;ko:K12368;ko:K03415;ko:K03412;ko:K02556;ko:K02410;ko:K03776;ko:K03408;ko:K00575,ko02030,Bacterial chemotaxis,1_vs_0,Pseudomonas2
12,prerank,ko02020,0.46264005755405746,1.7443101703323596,0.001321003963011889,0.029767321081759508,0.289,43/118,19.38%,ko:K02651;ko:K03406;ko:K02283;ko:K02280;ko:K07346;ko:K20978;ko:K18093;ko:K00626;ko:K20977;ko:K02279;ko:K02282;ko:K00425;ko:K00426;ko:K12510;ko:K12511;ko:K11688;ko:K00412;ko:K07679;ko:K00406;ko:K07794;ko:K07347;ko:K07782;ko:K08083;ko:K03415;ko:K00407;ko:K07790;ko:K00405;ko:K00404;ko:K14979;ko:K03412;ko:K00411;ko:K20976;ko:K03563;ko:K02556;ko:K00413;ko:K03776;ko:K02405;ko:K13491;ko:K11384;ko:K07660;ko:K02406;ko:K20973;ko:K02106,ko02020,Two-component system,1_vs_0,Pseudomonas2
13,prerank,ko02024,0.5479991742988123,1.7394512566894298,0.0060790273556231,0.028557362884671415,0.295,16/38,13.86%,ko:K01995;ko:K01997;ko:K01996;ko:K01998;ko:K01999;ko:K01897;ko:K02055;ko:K02035;ko:K01626;ko:K07782;ko:K02052;ko:K18100;ko:K02053;ko:K19734;ko:K02054;ko:K09823,ko02024,Quorum sensing,1_vs_0,Pseudomonas2
14,prerank,ko02025,0.5218238718151765,1.7192531314161263,0.003048780487804878,0.032283564245024265,0.342,22/48,21.97%,ko:K20978;ko:K21000;ko:K20987;ko:K20998;ko:K20977;ko:K21003;ko:K21001;ko:K21002;ko:K18100;ko:K11901;ko:K11900;ko:K20976;ko:K03563;ko:K11893;ko:K02405;ko:K20997;ko:K13491;ko:K11903;ko:K20973;ko:K11915;ko:K20999;ko:K11907,ko02025,Biofilm formation - Pseudomonas aeruginosa,1_vs_0,Pseudomonas2
15,prerank,ko00630,0.5747809069779615,1.709024924524946,0.006700167504187605,0.03414093818130671,0.37,10/26,18.74%,ko:K00600;ko:K01433;ko:K01895;ko:K00626;ko:K00382;ko:K02437;ko:K01637;ko:K03781;ko:K00605;ko:K01816,ko00630,Glyoxylate and dicarboxylate metabolism,1_vs_0,Pseudomonas2
16,prerank,ko02040,0.5381348290789657,1.708745115325611,0.0030441400304414,0.032258411487529115,0.371,23/42,27.09%,ko:K02420;ko:K02422;ko:K02392;ko:K02424;ko:K02419;ko:K21218;ko:K02556;ko:K02410;ko:K02405;ko:K02407;ko:K02400;ko:K02408;ko:K02409;ko:K02406;ko:K02390;ko:K02394;ko:K02391;ko:K02412;ko:K02393;ko:K02414;ko:K02418;ko:K02398;ko:K02387,ko02040,Flagellar assembly,1_vs_0,Pseudomonas2
17,prerank,ko00625,0.8795416378323038,1.696164386147831,0.0,0.03527674238694705,0.406,3/5,4.43%,ko:K00148;ko:K00128;ko:K00121,ko00625,Chloroalkane and chloroalkene degradation,1_vs_0,Pseudomonas2
18,prerank,ko05208,0.8077139561785112,1.678789583804128,0.008113590263691683,0.04095927983683803,0.482,6/7,16.90%,ko:K00799;ko:K00412;ko:K04564;ko:K00411;ko:K00413;ko:K03781,ko05208,Chemical carcinogenesis - reactive oxygen species,1_vs_0,Pseudomonas2
19,prerank,ko00040,0.6949915052649572,1.6742466502469902,0.019642857142857142,0.04083550179337506,0.498,7/12,18.76%,ko:K01805;ko:K22185;ko:K00008;ko:K13877;ko:K14274;ko:K00854;ko:K00065,ko00040,Pentose and glucuronate interconversions,1_vs_0,Pseudomonas2
20,prerank,ko03070,-0.48476358147222265,-1.8438961266438936,0.0029498525073746312,0.026259512571043253,0.082,22/43,27.00%,ko:K03217;ko:K02460;ko:K02457;ko:K03076;ko:K03071;ko:K03072;ko:K02458;ko:K03210;ko:K11017;ko:K03106;ko:K11016;ko:K03223;ko:K03228;ko:K02459;ko:K03227;ko:K03074;ko:K03219;ko:K03070;ko:K03222;ko:K02462;ko:K03230;ko:K02455,ko03070,Bacterial secretion system,1_vs_0,Pseudomonas2
21,prerank,ko03060,-0.6701906939187176,-1.887940075025675,0.0024937655860349127,0.021732010403622003,0.045,7/14,16.15%,ko:K03217;ko:K03076;ko:K03071;ko:K03072;ko:K03210;ko:K03106;ko:K03074,ko03060,Protein export,1_vs_0,Pseudomonas2
22,prerank,ko03010,-0.8375125560951708,-3.225673260547143,0.0,0.0,0.0,48/52,13.59%,ko:K02935;ko:K02907;ko:K02895;ko:K02864;ko:K02897;ko:K02967;ko:K02874;ko:K02890;ko:K02996;ko:K02933;ko:K02899;ko:K02876;ko:K02959;ko:K02871;ko:K02888;ko:K02904;ko:K02954;ko:K02982;ko:K02948;ko:K02988;ko:K02950;ko:K02990;ko:K02961;ko:K02892;ko:K02931;ko:K02945;ko:K02986;ko:K02939;ko:K02902;ko:K02926;ko:K02965;ko:K02968;ko:K02970;ko:K02878;ko:K02992;ko:K02911;ko:K02884;ko:K02886;ko:K02994;ko:K02906;ko:K02963;ko:K02881;ko:K02867;ko:K02879;ko:K02946;ko:K02863;ko:K02952;ko:K02913,ko03010,Ribosome,1_vs_0,Pseudomonas2
